ROWID,AU,TI,SO,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,1stScreen.result,1stScreen.note,1stScreen.CheckedBy,2ndScreen,2ndScreen.Checker,2ndScreen.Notes,DataColl.Notes,Collector
10765,"Barker, JSF; Starmer, WT",Environmental effects and the genetics of oviposition site preference for natural yeast substrates in Drosophila buzzatii,HEREDITAS,1999,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,many gens in lab (coll'd in late 80s early 90s),KT,,,,,
10785,"Coyne, JA; Charlesworth, B",Genetics of a pheromonal difference affecting sexual isolation between Drosophila mauritiana and D-sechellia,GENETICS,1997,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,lab pop since 80s or maybe 70s,KT,,,,,
10800,"Liu, J; Mercer, JM; Stam, LF; Gibson, GC; Zeng, ZB; Laurie, CC",Genetic analysis of a morphological shape difference in the male genitalia of Drosophila simulans and D-mauritiana,GENETICS,1996,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,maintained for several years,KT,,,,,
10802,"MitchellOlds, T",Genetic constraints on life-history evolution: Quantitative-trait loci influencing growth and flowering in Arabidopsis thaliana,EVOLUTION,1996,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10807,"Kim, Y; Krafsur, ES; Bailey, TB; Zhao, SL",Mode of inheritance of face fly diapause and its correlation with other developmental traits,ECOLOGICAL ENTOMOLOGY,1995,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,pop in lab for 20 yrs,KT,,,,,
10814,"LONG, AD; MULLANEY, SL; REID, LA; FRY, JD; LANGLEY, CH; MACKAY, TFC",HIGH-RESOLUTION MAPPING OF GENETIC-FACTORS AFFECTING ABDOMINAL BRISTLE NUMBER IN DROSOPHILA-MELANOGASTER,GENETICS,1995,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10817,"MOGIL, JS; MAREK, P; FLODMAN, P; SPENCE, MA; STERNBERG, WF; KEST, B; SADOWSKI, B; LIEBESKIND, JC",ONE OR 2 GENETIC-LOCI MEDIATE HIGH OPIATE ANALGESIA IN SELECTIVELY BRED MICE,PAIN,1995,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10829,"VOGL, C; ATCHLEY, WR; XU, SZ",THE ONTOGENY OF MORPHOLOGICAL DIFFERENCES IN THE MANDIBLE IN 2 INBRED STRAINS OF MICE,JOURNAL OF CRANIOFACIAL GENETICS AND DEVELOPMENTAL BIOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10859,"BROOKS, A; JOHNSON, TE",GENETIC SPECIFICATION OF LIFE-SPAN AND SELF-FERTILITY IN RECOMBINANT-INBRED STRAINS OF CAENORHABDITIS-ELEGANS,HEREDITY,1991,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10866,"LEGNER, EF","ESTIMATIONS OF NUMBER OF ACTIVE LOCI, DOMINANCE AND HERITABILITY IN POLYGENIC INHERITANCE OF GREGARIOUS BEHAVIOR IN MUSCIDIFURAX-RAPTORELLUS [HYMENOPTERA, PTEROMALIDAE]",ENTOMOPHAGA,1991,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,22 gens in lab,KT,,,,,
10885,"MESSINA, FJ","GENETIC-BASIS OF VARIABLE OVIPOSITION BEHAVIOR IN CALLOSOBRUCHUS-MACULATUS (COLEOPTERA, BRUCHIDAE)",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,1989,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,pop in lab for at least 10 yrs it seems,KT,,,,,
10893,"SERVICE, PM; HUTCHINSON, EW; ROSE, MR",MULTIPLE GENETIC MECHANISMS FOR THE EVOLUTION OF SENESCENCE IN DROSOPHILA-MELANOGASTER,EVOLUTION,1988,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,many gens,KT,,,,,
10924,"CARSON, HL; LANDE, R",INHERITANCE OF A SECONDARY SEXUAL CHARACTER IN DROSOPHILA-SILVESTRIS,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-BIOLOGICAL SCIENCES,1984,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,laboratory stock pops,KT,,,,,
10929,"COYNE, JA",GENETIC-BASIS OF DIFFERENCES IN GENITAL MORPHOLOGY AMONG THREE SIBLING SPECIES OF DROSOPHILA,EVOLUTION,1983,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,stock centre pops,KT,,,,,
10972,"Ulloa, Pilar E.; Iturra, Patricia; Neira, Roberto; Araneda, Cristian",Zebrafish as a model organism for nutrition and growth: towards comparative studies of nutritional genomics applied to aquacultured fishes,REVIEWS IN FISH BIOLOGY AND FISHERIES,2011,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
10987,"Thrower, Frank P.; Hard, Jeffrey J.",Effects of a single event of close inbreeding on growth and survival in steelhead,CONSERVATION GENETICS,2009,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
11119,"KAPUSCINSKI, AR; HALLERMAN, EM",IMPLICATIONS OF INTRODUCTION OF TRANSGENIC FISH INTO NATURAL ECOSYSTEMS,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1991,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
11124,"Brock, MT; Maloof, JN; Weinig, C","Genes underlying quantitative variation in ecologically important traits: PIF4 (PHYTOCHROME INTERACTING FACTOR 4) is associated with variation in internode length, flowering time, and fruit set in Arabidopsis thaliana",MOLECULAR ECOLOGY,2010,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
11124,"Suzuki, Y; Nijhout, HF",Genetic basis of adaptive evolution of a polyphenism by genetic accommodation,JOURNAL OF EVOLUTIONARY BIOLOGY,2008,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
11124,"Takahashi, A; Tsaur, SC; Coyne, JA; Wu, CI",The nucleotide changes governing cuticular hydrocarbon variation and their evolution in Drosophila melanogaster,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2001,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,,KT,,,,,
11124,"Laurie, CC; True, JR; Liu, JJ; Mercer, JM",An introgression analysis of quantitative trait loci that contribute to a morphological difference between Drosophila simulans and D-mauritana,GENETICS,1997,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,lab mutants.,KT,,,,,
11124,"Coyne, JA",Genetics of differences in pheromonal hydrocarbons between Drosophila melanogaster and D-simulans,GENETICS,1996,,,,,,,,,,,,,,,,,,,,,,,,lab.pop,old stocks,KT,,,,,
3311,"Andersson, S",The genetic basis of floral variation in Senecio jacobaea (Asteraceae),JOURNAL OF HEREDITY,2001,95,4,,,,,284,290,,10.1093/jhered/esh050,,,,,,,,WOS:000222729700002,15247307,,,,,no.data,cannot get the F1 data from paper (at least no parents to compare...),KT,,,,,
3458,"Tate, ML; Goosen, GJ; Patene, H; Pearse, AJ; McEwan, KM; Fennessy, PF",Genetic analysis of Pere David's x red deer interspecies hybrids,JOURNAL OF HEREDITY,1997,90,2,,,,,323,327,,10.1093/jhered/90.2.323,,,,,,,,WOS:000078904100015,,,,,,no.data,only P and BC,KT,,,,,
3508,"Merila, J; Gustafsson, L",Temporal stability and microgeographic homogeneity of heritability estimates in a natural bird population,JOURNAL OF HEREDITY,1996,88,6,,,,,459,465,,10.1093/oxfordjournals.jhered.a023137,,,,,,,,WOS:A1997YL26500003,,,,,,no.data,,KT,,,,,
10504,"CLARKSON, BD","A NATURAL INTERGENERIC HYBRID, CELMISIA-GRACILENTA X OLEARIA-ARBORESCENS (COMPOSITAE) FROM MT TARAWERA, NEW-ZEALAND",NEW ZEALAND JOURNAL OF BOTANY,1988,,,,,,,,,,,,,,,,,,,,,,,,no.data,"qualtitative data, not useful",KT,,,,,
3475,"Leamy, L",Genetic analysis of fluctuating asymmetry for skeletal characters in mice,JOURNAL OF HEREDITY,1997,90,1,,,,,242,247,,10.1093/jhered/90.1.242,,,,,,,,WOS:000078225400047,,,,,,no.data,"FA study, parents means, can't get data",KT,,,,,
17,"Jones, CD",Extension of the Castle-Wright effective factor estimator to sex linkage and haplodiploidy,JOURNAL OF HEREDITY,2001,92,3,,,,,274,276,,10.1093/jhered/92.3.274,,,,,,,,WOS:000169680200010,11447245,,,,,no.data,,KT,,,,,
18,"Otto, SP; Jones, CD",Detecting the undetected: Estimating the total number of loci underlying a quantitative trait,GENETICS,2000,156,4,,,,,2093,2107,,,,,,,,,,WOS:000165740100051,11102398,,,,,no.data,,KT,,,,,
22,"Bay, RA; Arnegard, ME; Conte, GL; Best, J; Bedford, NL; McCann, SR; Dubin, ME; Chan, YF; Jones, FC; Kingsley, DM; Schluter, D; Peichel, CL",Genetic Coupling of Female Mate Choice with Polygenic Ecological Divergence Facilitates Stickleback Speciation,CURRENT BIOLOGY,2017,27,21,,,,,3344,#ERROR!,,10.1016/j.cub.2017.09.037,,,,,,,,WOS:000414581700026,29056455,,,,,no.data,only f2,KT,,,,,
23,"Nilsson, PA; Hulthen, K; Chapman, B; Hansson, LA; Brodersen, J; Baktoft, H; Vinterstare, J; Bronmark, C; Skov, C",Species integrity enhanced by a predation cost to hybrids in the wild,BIOLOGY LETTERS,2017,13,7,,,,,,,20170208,10.1098/rsb1.2017.0208,,,,,,,,WOS:000409400700004,,,,,,no.data,no measurement of specimens; refs 13-15 may be suitable,KT,,,,,
24,"Kulmuni, J; Westram, AM",Intrinsic incompatibilities evolving as a by-product of divergent ecological selection: Considering them in empirical studies on divergence with gene flow,MOLECULAR ECOLOGY,2017,26,12,,,,,3093,3103,,10.1111/mec.14147,,,,,,,,WOS:000402836700003,28423210,,,,,no.data,,KT,,,,,
25,"Lackey, ACR; Boughman, JW",Evolution of reproductive isolation in stickleback fish,EVOLUTION,2017,71,2,,,,,357,372,,10.1111/evo.13114,,,,,,,,WOS:000394985200013,27901265,,,,,no.data,review,KT,,,,,
30,"Nurnberger, B; Lohse, K; Fijarczyk, A; Szymura, JM; Blaxter, ML",Para-allopatry in hybridizing fire-bellied toads (Bombina bombina and B. variegata): Inference from transcriptome-wide coalescence analyses,EVOLUTION,2016,70,8,,,,,,,,10.1111/evo.12978,,,,,,,,WOS:000381205700010,27282112,,,,,no.data,,KT,,,,,
31,"Kost, S; Heckel, DG; Yoshido, A; Marec, F; Groot, AT",A Z-linked sterility locus causes sexual abstinence in hybrid females and facilitates speciation in Spodoptera frugiperda,EVOLUTION,2016,70,6,,,,,1418,1427,,10.1111/evo.12940,,,,,,,,WOS:000379268200022,27149933,,,,,no.data,no f1s,KT,,,,,
37,"Twomey, E; Vestergaard, JS; Venegas, PJ; Summers, K",Mimetic Divergence and the Speciation Continuum in the Mimic Poison Frog Ranitomeya imitator,AMERICAN NATURALIST,2016,187,2,,,,,205,224,,10.1086/684439,,,,,,,,WOS:000368590200005,26807748,,,,,no.data,,KT,,,,,
42,"May-McNally, SL; Quinn, TP; Taylor, EB",Low levels of hybridization between sympatric Arctic char (Salvelinus alpinus) and Dolly Varden char (Salvelinus malma) highlights their genetic distinctiveness and ecological segregation,ECOLOGY AND EVOLUTION,2015,5,15,,,,,3031,3045,,10.1002/ece3.1583,,,,,,,,WOS:000359427800004,26356310,,,,,no.data,,KT,,,,,
43,"Bell, RC; Drewes, RC; Zamudio, KR","Reed frog diversification in the Gulf of Guinea: Overseas dispersal, the progression rule, and in situ speciation",EVOLUTION,2015,69,4,,,,,904,915,,10.1111/evo.12623,,,,,,,,WOS:000353236000005,25715968,,,,,no.data,,KT,,,,,
44,"Pfennig, DW; Akcali, CK; Kikuchi, DW",Batesian mimicry promotes pre- and postmating isolation in a snake mimicry complex,EVOLUTION,2015,69,4,,,,,1085,1090,,10.1111/evo.12624,,,,,,,,WOS:000353236000022,25689670,,,,,no.data,,KT,,,,,
45,"Mandeville, EG; Parchman, TL; McDonald, DB; Buerkle, CA",Highly variable reproductive isolation among pairs of Catostomus species,MOLECULAR ECOLOGY,2015,24,8,,,,,1856,1872,,10.1111/mec.13118,,,,,,,,WOS:000352639900016,25703195,,,,,no.data,,KT,,,,,
48,"Twomey, E; Vestergaard, JS; Summers, K",Reproductive isolation related to mimetic divergence in the poison frog Ranitomeya imitator,NATURE COMMUNICATIONS,2014,5,,,,,,,,4749,10.1038/ncomms5749,,,,,,,,WOS:000341082100001,25158807,,,,,no.data,,KT,,,,,
49,"Arnegard, ME; McGee, MD; Matthews, B; Marchinko, KB; Conte, GL; Kabir, S; Bedford, N; Bergek, S; Chan, YF; Jones, FC; Kingsley, DM; Peichel, CL; Schluter, D",Genetics of ecological divergence during speciation,NATURE,2014,511,7509,,,,,307,#ERROR!,,10.1038/nature13301,,,,,,,,WOS:000338992200027,24909991,,,,,no.data,only f2; no parents,KT,,,,,
50,"Friedmann, VS","What's wrong with ""development of isolating mechanisms"" (and its special case in form of ""reinforcement"")?",ZHURNAL OBSHCHEI BIOLOGII,2014,75,4,,,,,261,286,,,,,,,,,,WOS:000340808700002,,,,,,no.data,,KT,,,,,
52,"Turelli, M; Lipkowitz, JR; Brandvain, Y","ON THE COYNE AND ORR-IGIN OF SPECIES: EFFECTS OF INTRINSIC POSTZYGOTIC ISOLATION, ECOLOGICAL DIFFERENTIATION, X CHROMOSOME SIZE, AND SYMPATRY ON DROSOPHILA SPECIATION",EVOLUTION,2014,68,4,,,,,1176,1187,,10.1111/evo.12330,,,,,,,,WOS:000333553500020,24325145,,,,,no.data,,KT,,,,,
54,"Faria, R; Renaut, S; Galindo, J; Pinho, C; Melo-Ferreira, J; Melo, M; Jones, F; Salzburger, W; Schluter, D; Butlin, R",Advances in Ecological Speciation: an integrative approach,MOLECULAR ECOLOGY,2014,23,3,,,,,513,521,,10.1111/mec.12616,,,,,,,,WOS:000329980000003,24354648,,,,,no.data,,KT,,,,,
61,"Plath, M; Pfenninger, M; Lerp, H; Riesch, R; Eschenbrenner, C; Slattery, PA; Bierbach, D; Herrmann, N; Schulte, M; Arias-Rodriguez, L; Indy, JR; Passow, C; Tobler, M",GENETIC DIFFERENTIATION AND SELECTION AGAINST MIGRANTS IN EVOLUTIONARILY REPLICATED EXTREME ENVIRONMENTS,EVOLUTION,2013,67,9,,,,,2647,2661,,10.1111/evo.12133,,,,,,,,WOS:000323828500014,24033173,,,,,no.data,,KT,,,,,
62,"April, J; Hanner, RH; Mayden, RL; Bernatchez, L",Metabolic Rate and Climatic Fluctuations Shape Continental Wide Pattern of Genetic Divergence and Biodiversity in Fishes,PLOS ONE,2013,8,7,,,,,,,e70296,10.1371/journal.pone.0070296,,,,,,,,WOS:000323369700164,23922969,,,,,no.data,,KT,,,,,
63,"Leppala, J; Bokma, F; Savolainen, O",Investigating Incipient Speciation in Arabidopsis lyrata from Patterns of Transmission Ratio Distortion,GENETICS,2013,194,3,,,,,697,#ERROR!,,10.1534/genetics.113.152561,,,,,,,,WOS:000321255800014,23666938,,,,,no.data,,KT,,,,,
65,"Lackey, ACR; Boughman, JW",Loss of sexual isolation in a hybridizing stickleback species pair,CURRENT ZOOLOGY,2013,59,5,,,,,591,603,,10.1093/czoolo/59.5.591,,,,,,,,WOS:000324341700001,,,,,,no.data,no hybrids,KT,,,,,
66,"Stokes, K; Stiling, P; Gilg, MR; Rossi, AM",The Gall Midge Asphondylia borrichiae (Diptera: Cecidomyiidae): An Indigenous Example of Host-Associated Genetic Divergence in Sympatry,ENVIRONMENTAL ENTOMOLOGY,2012,41,5,,,,,1246,1254,,10.1603/EN12041,,,,,,,,WOS:000309742600026,23068183,,,,,no.data,,KT,,,,,
68,"Denef, VJ; Banfield, JF",In Situ Evolutionary Rate Measurements Show Ecological Success of Recently Emerged Bacterial Hybrids,SCIENCE,2012,336,6080,,,,,462,466,,10.1126/science.1218389,,,,,,,,WOS:000303233400044,22539719,,,,,no.data,,KT,,,,,
77,"Kraak, SBM; Hart, PJB",Modelling sympatric speciation by means of biologically plausible mechanistic processes as exemplified by threespine stickleback species pairs,ORGANISMS DIVERSITY & EVOLUTION,2011,11,4,,,,,287,306,,10.1007/s13127-011-0051-5,,,,,,,,WOS:000299268000004,,,,,,no.data,,KT,,,,,
83,"Rice, AM; Rudh, A; Ellegren, H; Qvarnstrom, A",A guide to the genomics of ecological speciation in natural animal populations,ECOLOGY LETTERS,2011,14,1,,,,,9,18,,10.1111/j.1461-0248.2010.01546.x,,,,,,,,WOS:000285302500002,21070555,,,,,no.data,,KT,,,,,
87,"Givnish, TJ",Ecology of plant speciation,TAXON,2010,59,5,,,,,1326,1366,,,,,,,,,,WOS:000282924800003,,,,,,no.data,,KT,,,,,
88,"Labonne, J; Hendry, AP",Natural and Sexual Selection Giveth and Taketh Away Reproductive Barriers: Models of Population Divergence in Guppies,AMERICAN NATURALIST,2010,176,1,,,,,26,39,,10.1086/652992,,,,,,,,WOS:000278375200006,20477531,,,,,no.data,,KT,,,,,
95,"Behm, JE; Ives, AR; Boughman, JW",Breakdown in Postmating Isolation and the Collapse of a Species Pair through Hybridization,AMERICAN NATURALIST,2010,175,1,,,,,11,26,,10.1086/648559,,,,,,,,WOS:000272372200004,19916869,,,,,no.data,,KT,,,,,
99,"Proulx, SR; Servedio, MR",DISSECTING SELECTION ON FEMALE MATING PREFERENCES DURING SECONDARY CONTACT,EVOLUTION,2009,63,8,,,,,2031,2046,,10.1111/j.1558-5646.2009.00710.x,,,,,,,,WOS:000268531400009,19473397,,,,,no.data,,KT,,,,,
101,"Berner, D; Grandchamp, AC; Hendry, AP",VARIABLE PROGRESS TOWARD ECOLOGICAL SPECIATION IN PARAPATRY: STICKLEBACK ACROSS EIGHT LAKE-STREAM TRANSITIONS,EVOLUTION,2009,63,7,,,,,1740,1753,,10.1111/j.1558-5646.2009.00665.x,,,,,,,,WOS:000267368900006,19228184,,,,,no.data,,KT,,,,,
104,"Stelkens, R; Seehausen, O",GENETIC DISTANCE BETWEEN SPECIES PREDICTS NOVEL TRAIT EXPRESSION IN THEIR HYBRIDS,EVOLUTION,2009,63,4,,,,,884,897,,10.1111/j.1558-5646.2008.00599.x,,,,,,,,WOS:000264379200007,19220450,,,,,no.data,review; great paper though,KT,,,,,
105,"Brodin, A; Haas, F",Hybrid zone maintenance by non-adaptive mate choice,EVOLUTIONARY ECOLOGY,2009,23,1,,,,,17,29,,10.1007/s10682-007-9173-9,,,,,,,,WOS:000262504800003,,,,,,no.data,,KT,,,,,
106,"Ortiz-Barrientos, D; Grealy, A; Nosil, P",The Genetics and Ecology of Reinforcement Implications for the Evolution of Prezygotic Isolation in Sympatry and Beyond,YEAR IN EVOLUTIONARY BIOLOGY 2009,2009,1168,,,,,,156,182,,10.1111/j.1749-6632.2009.04919.x,,,,,,,,WOS:000268507900007,19566707,,,,,no.data,,KT,,,,,
117,"Campbell, DR",Pollinator shifts and the origin and loss of plant species,ANNALS OF THE MISSOURI BOTANICAL GARDEN,2008,95,2,,,,,264,274,,10.3417/2007006,,,,,,,,WOS:000256944400006,,,,,,no.data,,KT,,,,,
118,"Ohshima, I",Host race formation in the leaf-mining moth Acrocercops transecta (Lepidoptera : Gracillariidae),BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2008,93,1,,,,,135,145,,10.1111/j.1095-8312.2007.00949.x,,,,,,,,WOS:000251738300013,,,,,,no.data,,KT,,,,,
120,"Yamada, M; Higuchi, M; Goto, A","Long-term occurrence of hybrids between Japan Sea and Pacific Ocean forms of threespine stickleback, Gasterosteus aculeatus, in Hokkaido Island, Japan",ENVIRONMENTAL BIOLOGY OF FISHES,2007,80,4,,,,,435,443,,10.1007/s10641-006-9142-0,,,,,,,,WOS:000250374800007,,,,,,no.data,,KT,,,,,
127,"McClelland, EK; Naish, KA",What is the fitness outcome of crossing unrelated fish populations? A meta-analysis and an evaluation of future research directions,CONSERVATION GENETICS,2007,8,2,,,,,397,416,,10.1007/s10592-006-9178-x,,,,,,,,WOS:000244685400012,,,,,,no.data,"should use some studies from here, though",KT,,,,,
128,"Nosil, P; Crespi, BJ; Gries, R; Gries, G",Natural selection and divergence in mate preference during speciation,GENETICA,2007,129,3,,,,,309,327,,10.1007/s10709-006-0013-6,,,,,,,,WOS:000244092100010,16900317,,,,,no.data,,KT,,,,,
129,"Orr, HA; Masly, JP; Phadnis, N",Speciation in Drosophila: From phenotypes to molecules,JOURNAL OF HEREDITY,2007,98,2,,,,,103,110,,10.1093/jhered/esl060,,,,,,,,WOS:000246123000002,17194791,,,,,no.data,,KT,,,,,
133,"Friar, EA; Prince, LM; Roalson, EH; McGlaughlin, ME; Cruse-Sanders, JM; De Groot, SJ; Porter, JM",Ecological speciation in the East Maui-endemic Dubautia (Asteraceae) species,EVOLUTION,2006,60,9,,,,,1777,1792,,,,,,,,,,WOS:000241226800004,17089963,,,,,no.data,duplicate,KT,,,,,
135,"Yukilevich, R; True, JR",Divergent outcomes of reinforcement speciation: The relative importance of assortative mating and migration modification,AMERICAN NATURALIST,2006,167,5,,,,,638,654,,10.1086/503120,,,,,,,,WOS:000237207100003,16671009,,,,,no.data,,KT,,,,,
137,"Gow, JL; Peichel, CL; Taylor, EB",Contrasting hybridization rates between sympatric three-spined sticklebacks highlight the fragility of reproductive barriers between evolutionarily young species,MOLECULAR ECOLOGY,2006,15,3,,,,,739,752,,10.1111/j.1365-294X.2006.02825.x,,,,,,,,WOS:000236205600014,16499699,,,,,no.data,,KT,,,,,
139,"Hollander, J; Lindegarth, M; Johannesson, K",Local adaptation but not geographical separation promotes assortative mating in a snail,ANIMAL BEHAVIOUR,2005,70,,5,,,,1209,1219,,10.1016/j.anbehav.2005.03.014,,,,,,,,WOS:000233404000026,,,,,,no.data,,KT,,,,,
140,"Bettles, CM; Docker, MF; Dufour, B; Heath, DD",Hybridization dynamics between sympatric species of trout: loss of reproductive isolation,JOURNAL OF EVOLUTIONARY BIOLOGY,2005,18,5,,,,,1220,1233,,10.1111/j.1420-9101.2005.00935.x,,,,,,,,WOS:000231508900017,16135118,,,,,no.data,,KT,,,,,
143,"Nosil, P; Vines, TH; Funk, DJ",Perspective: Reproductive isolation caused by natural selection against immigrants from divergent habitats,EVOLUTION,2005,59,4,,,,,705,719,,,,,,,,,,WOS:000228734300001,15926683,,,,,no.data,,KT,,,,,
144,"Rundle, HD; Nosil, P",Ecological speciation,ECOLOGY LETTERS,2005,8,3,,,,,336,352,,10.1111/j.1461-0248.2004.00715.x,,,,,,,,WOS:000227249400012,,,,,,no.data,,KT,,,,,
151,"Goldman, DH; Jansen, RK; Van Den Berg, C; Leitch, IJ; Fay, MF; Chase, MW","Molecular and cytological examination of Calopogon (Orchidaceae, Epidendroideae): Circumscription, phylogeny, polyploidy, and possible hybrid speciation",AMERICAN JOURNAL OF BOTANY,2004,91,5,,,,,707,723,,10.3732/ajb.91.5.707,,,,,,,,WOS:000221754700009,21653426,,,,,no.data,,NF,,,,,
152,"Servedio, MR",The evolution of premating isolation: Local adaptation and natural and sexual selection against hybrids,EVOLUTION,2004,58,5,,,,,913,924,,10.1111/j.0014-3820.2004.tb00425.x,,,,,,,,WOS:000221632700001,15212372,,,,,no.data,,NF,,,,,
154,"Hines, RJO; Hines, WGS; Robinson, BW",A new statistical test of fitness set data from reciprocal transplant experiments involving intermediate phenotypes,AMERICAN NATURALIST,2004,163,1,,,,,97,104,,10.1086/380512,,,,,,,,WOS:000188954900009,14767839,,,,,no.data,,NF,,,,,
155,"Lexer, C; Randell, RA; Rieseberg, LH",Experimental hybridization as a tool for studying selection in the wild,ECOLOGY,2003,84,7,,,,,1688,1699,,10.1890/0012-9658(2003)084[1688:EHAATF]2.0.CO;2,,,,,,,,WOS:000184840900006,,,,,,no.data,,NF,,,,,
158,"Russell, ST",Evolution of intrinsic post-zygotic reproductive isolation in fish,ANNALES ZOOLOGICI FENNICI,2003,40,4,,,,,321,329,,,,,,,,,,WOS:000185279300002,,,,,,no.data,,NF,,,,,
159,"Servedio, MR; Noor, MAF",The role of reinforcement in speciation: Theory and data,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,2003,34,,,,,,339,364,,10.1146/annurev.ecolsys.34.011802.132412,,,,,,,,WOS:000220102000013,,,,,,no.data,,KT,,,,,
163,"Via, S",The ecological genetics of speciation,AMERICAN NATURALIST,2002,269,1494,,,,,923,930,,10.1098/rspb.2001.1946,,,,,,,,WOS:000175540100008,12028775,,,,,no.data,,NF,,,,,
164,"Rundle, HD",A test of ecologically dependent postmating isolation between sympatric sticklebacks,EVOLUTION,2002,159,,,S,,,S1,S7,,10.1086/338368,,,,,,,,WOS:000174210700001,18707366,,,,,no.data,"only backcrosses, no f1s",NF,,,,,
167,"Cruz, R; Rolan-Alvarez, E; Garcia, C",Sexual selection on phenotypic traits in a hybrid zone of Littorina saxatilis (Olivi),JOURNAL OF EVOLUTIONARY BIOLOGY,2001,268,1478,,,,,1849,1854,,10.1098/rspb.2001.1753,,,,,,,,WOS:000170834600014,11522205,,,,,no.data,no f1s,NF,,,,,
168,"Kirkpatrick, M",Reinforcement during ecological speciation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2001,14,5,,,,,773,785,,10.1046/j.1420-9101.2001.00324.x,,,,,,,,WOS:000171794300010,,,,,,no.data,"only simulations, no biological organsim",NF,,,,,
169,"Johnston, JA; Grise, DJ; Donovan, LA; Arnold, ML","Environment-dependent performance and fitness of Iris brevicaulis, I-fulva (Iridaceae), and hybrids",AMERICAN JOURNAL OF BOTANY,2001,268,1473,,,,,1259,1263,,10.1098/rspb.2000.1427,,,,,,,,WOS:000169471800007,11410152,,,,,no.data,"only backcrosses, no f1s",NF,,,,,
170,"Bordenstein, SR; Drapeau, MD",Genotype-by-environment interaction and the Dobzhansky-Muller model of postzygotic isolation,JOURNAL OF EVOLUTIONARY BIOLOGY,2001,88,5,,,,,933,938,,10.2307/2657046,,,,,,,,WOS:000168768900020,11353718,,,,,no.data,"only modelling, no biological organisms",NF,,,,,
171,"Kraak, SBM; Mundwiler, B; Hart, PJB","Increased number of hybrids between benthic and limnetic three-spined sticklebacks in Enos Lake, Canada; the collapse of a species pair?",JOURNAL OF FISH BIOLOGY,2001,14,3,,,,,490,501,,10.1046/j.1420-9101.2001.00289.x,,,,,,,,WOS:000169497300014,,,,,,no.data,"just sample analyse, no parents or f1s",NF,,,,,
173,"Young, WP; Ostberg, CO; Keim, P; Thorgaard, GH",Genetic characterization of hybridization and introgression between anadromous rainbow trout (Oncorhynchus mykiss irideus) and coastal cutthroat trout (O-clarki clarki),MOLECULAR ECOLOGY,2001,55,4,,,,,669,676,,10.1554/0014-3820(2001)055[0669:GBEIAT]2.0.CO;2,,,,,,,,WOS:000168837800003,11392384,,,,,no.data,cited refs 'leary 1983' and 'hawkins 1997' may have relevent data; only genotype analysis,NF,,,,,
174,"Lu, G; Basley, DJ; Bernatchez, L",Contrasting patterns of mitochondrial DNA and microsatellite introgressive hybridization between lineages of lake whitefish (Coregonus clupeaformis); relevance for speciation,MOLECULAR ECOLOGY,2001,10,4,,,,,921,930,,10.1046/j.1365-294X.2001.01247.x,,,,,,,,WOS:000168455500011,11348501,,,,,no.data,"sample analysis, no crosses",NF,,,,,
175,"Johannesson, K",Parallel speciation: a key to sympatric divergence,TRENDS IN ECOLOGY & EVOLUTION,2001,10,4,,,,,965,985,,10.1046/j.1365-294X.2001.01252.x,,,,,,,,WOS:000168455500014,11348504,,,,,no.data,,KT,,,,,
