StudyID,TraitNo,Cross_ID,Sex,parents_different_stats,max_SD_diff,min_SD_diff,parents_different_stats_and_SD
David_2002,2,G,NA,TRUE,2.1853576789347473,1.5420983651438347,TRUE
David_2002,2,H,NA,TRUE,1.2258552477496547,1.1009411113178775,TRUE
David_2002,2,I,NA,TRUE,1.474637654821597,1.229774645621033,TRUE
David_2002,3,A,NA,TRUE,6.907390030759604,5.981975240485193,TRUE
David_2002,3,B,NA,TRUE,11.137025335938388,6.429964575675711,TRUE
David_2002,3,C,NA,TRUE,5.692099788303088,5.633717734338856,TRUE
David_2002,3,D,NA,TRUE,5.744804415972555,4.975146564005258,TRUE
David_2002,3,E,NA,TRUE,6.329238442281925,5.481281277625196,TRUE
David_2002,3,F,NA,TRUE,6.359667473254431,5.507633591459929,TRUE
David_2002,3,G,NA,TRUE,2.556174441969439,2.2137120032500457,TRUE
David_2002,3,H,NA,TRUE,1.2649110640673529,1.2519372742975237,TRUE
David_2002,3,I,NA,TRUE,1.370320319406299,1.356265380488984,TRUE
David_2002,4,A,NA,TRUE,0.6441768443614214,0.4584076918228579,TRUE
David_2002,4,B,NA,FALSE,0.22356022755312888,0.14708268186829662,FALSE
David_2002,4,C,NA,TRUE,0.8612738766566742,0.5319490327570064,TRUE
David_2002,4,D,NA,TRUE,0.8380454431773037,0.6863858487187182,TRUE
David_2002,4,E,NA,FALSE,0.41079191812887456,0.28681122964317857,FALSE
David_2002,4,F,NA,FALSE,0.46078246901228287,0.2598460713006577,FALSE
David_2002,4,G,NA,FALSE,0.16335585048399684,0.083346853058701445,FALSE
David_2002,4,H,NA,FALSE,0.17895059627309445,0.17087071238409035,FALSE
David_2002,4,I,NA,TRUE,0.45018292397684906,0.44124804560489034,TRUE
David_2002,5,A,NA,TRUE,5.586690532964137,1.6127386415429892,TRUE
David_2002,5,B,NA,TRUE,3.320391543176798,1.0456521552371352,TRUE
David_2002,5,C,NA,TRUE,2.4244128727957572,0.9331569498236164,TRUE
David_2002,5,D,NA,FALSE,0.060858061945018464,0.052704627669472995,FALSE
David_2002,5,E,NA,FALSE,0.47434164902525683,0.27386127875258304,FALSE
David_2002,5,F,NA,TRUE,0.8432740427115678,0.4173124247658408,TRUE
David_2002,5,G,NA,TRUE,Inf,0.21081851067789195,TRUE
David_2002,5,H,NA,FALSE,0.15811388300841897,0.10954451150103323,FALSE
David_2002,5,I,NA,TRUE,Inf,0.21081851067789195,TRUE
Finck_2017,1,A,NA,TRUE,31.779661016949152,5.040322580645161,TRUE
Finck_2017,2,A,NA,TRUE,120.0952380952381,8.880281690140846,TRUE
Shore_1990,1,A,NA,TRUE,3.5165115752029883,3.2728072973570894,TRUE
Shore_1990,2,A,NA,TRUE,7.30677007226099,7.0201176116964925,TRUE
Shore_1990,3,A,NA,TRUE,16.93689126475947,9.109090909090908,TRUE
Shore_1990,4,A,NA,FALSE,0.18764665626020038,0.16222142113076254,FALSE
Plath_2008,1,A,M,TRUE,1.2363634906631025,1.133333576121348,TRUE
Plath_2008,1,A,F,TRUE,1.0566041881525898,0.8000000870404858,TRUE
Plath_2008,2,A,M,TRUE,4.636365158397653,2.0399997098644858,TRUE
Plath_2008,2,A,F,TRUE,8.000000688044503,1.6551724041059057,TRUE
Plath_2008,3,A,NA,TRUE,11.415094339622643,0.6526429341963322,TRUE
Vinsalkova_2007,1,A,NA,TRUE,1.3820723487938071,0.9501747363338131,TRUE
Vinsalkova_2007,2,A,NA,TRUE,8.030709828247579,5.1104532785245045,TRUE
Vinsalkova_2007,3,A,NA,TRUE,7.071067811865473,4.4997718078057485,TRUE
Machado-Schiaffino_2014,1,A,Na,TRUE,28.71039458562243,1.8412645194913477,TRUE
Martin_2007a,1,A,NA,TRUE,149.24026759560545,129.6017263289347,TRUE
Martin_2007a,2,A,NA,TRUE,130.9095763421737,113.01974063742608,TRUE
Martin_2007a,3,A,NA,TRUE,85.71504618194182,74.95318742153712,TRUE
Martin_2007a,4,A,NA,TRUE,85.3781726676502,47.88117407684432,TRUE
Galloway_2001,1,A,NA,TRUE,1.1827967754822637,0.8131727927496599,TRUE
Galloway_2001,2,A,NA,TRUE,6.599663269295555,2.4748737259858333,TRUE
Galloway_2001,3,A,NA,TRUE,1.6970562095110475,1.0799448605979391,TRUE
Galloway_2001,4,A,NA,TRUE,5.727565062845211,3.8183764651419665,TRUE
Galloway_2001,5,A,NA,TRUE,3.9597979419763325,2.8284271325243644,TRUE
Galloway_2001,6,A,NA,TRUE,1.542778516824749,1.542778516824749,TRUE
Galloway_2001,7,A,NA,TRUE,1.9798989923295331,1.5839191938636266,TRUE
Galloway_2001,8,A,NA,TRUE,3.2055499462768298,3.2055499462768298,TRUE
Galloway_2001,9,A,NA,TRUE,1.0960155213087481,0.7971021975237867,TRUE
Galloway_2001,10,A,NA,TRUE,1.206794026626278,1.1313706786459587,TRUE
Galloway_2001,11,A,NA,TRUE,0.6091996903420012,0.4658585850259904,TRUE
Craig_2001b,1,A,NA,TRUE,6.199999999999999,3.6470588235294112,TRUE
Craig_2001b,2,A,NA,TRUE,6.576923076923076,2.9999999999999996,TRUE
Craig_2001b,3,A,NA,TRUE,10.3,2.67037037037037,TRUE
Craig_2001b,4,A,NA,TRUE,10.09090909090909,2.242424242424242,TRUE
Craig_2001b,5,A,NA,FALSE,0.3333333333333329,0.12499999999999983,FALSE
Parsons_1997,1,A,NA,TRUE,0.9643959372630753,0.8282364455613498,TRUE
Parsons_1997,1,B,NA,TRUE,0.9630288336082932,0.7979249985750347,TRUE
Parsons_1997,2,A,NA,TRUE,3.533808834395088,2.4688535993934697,TRUE
Parsons_1997,2,B,NA,TRUE,0.4308286887195002,0.4283597360771246,TRUE
Parsons_1997,3,A,NA,TRUE,0.6786186379800909,0.6627179578843662,TRUE
Parsons_1997,3,B,NA,TRUE,1.2353452720179379,0.9798585680337669,TRUE
Parsons_1997,4,A,NA,TRUE,2.2687826190107603,2.188280455840677,TRUE
Parsons_1997,4,B,NA,TRUE,2.900478497297476,1.3712791755559715,TRUE
Grant_1994,1,A,NA,TRUE,11.378646631428078,7.026448545267634,TRUE
Grant_1994,1,B,NA,TRUE,5.345539402878856,3.4448771825537574,TRUE
Grant_1994,2,A,NA,TRUE,7.437485112238669,0.34270899769448754,TRUE
Grant_1994,2,B,NA,TRUE,7.4973645748765865,0.38069354162355173,TRUE
SCRIBNER_1993,1,A,NA,FALSE,0.3127254490271445,0.303916281448915,FALSE
SCRIBNER_1993,2,A,NA,FALSE,0.19499360562083473,0.14436368696840746,FALSE
SCRIBNER_1993,3,A,M,TRUE,1.0062305898749053,1.0062305898749053,TRUE
SCRIBNER_1993,3,A,F,TRUE,1.1524350345575838,0.9363534655780368,TRUE
SCRIBNER_1993,4,A,M,TRUE,1.1180339887498938,1.0023753002585256,TRUE
SCRIBNER_1993,4,A,F,FALSE,0.48075461516245444,0.41804749144561254,FALSE
SCRIBNER_1993,5,A,M,TRUE,0.6708203932499363,0.6708203932499363,TRUE
SCRIBNER_1993,5,A,F,TRUE,0.7826237921249265,0.7826237921249265,TRUE
SCRIBNER_1993,6,A,M,FALSE,0.9103991051249118,0.5098234988699507,FALSE
SCRIBNER_1993,6,A,F,TRUE,1.4422638454873673,0.8241507688499242,TRUE
SCRIBNER_1993,7,A,M,TRUE,1.844756081437327,1.3728417350231268,TRUE
SCRIBNER_1993,7,A,F,TRUE,1.391069657581449,1.1392380816399796,TRUE
Wilkens_1971,1,A,NA,FALSE,0.5280058581742307,0.38517628432133116,FALSE
Wilkens_1971,2,A,NA,FALSE,0.2920824088686566,0.20417111953994171,FALSE
Wilkens_1971,3,B,NA,TRUE,31.635220125786166,24.18269230769231,TRUE
Noh_2015,1,A,NA,TRUE,18.649789029535867,15.785714285714285,TRUE
Noh_2015,2,A,NA,TRUE,4.838461538461538,2.055555555555556,TRUE
Noh_2015,3,A,NA,TRUE,Inf,7.23691675090863,TRUE
Pritchard_2013,1,A,NA,FALSE,0,0,FALSE
Pritchard_2013,2,A,NA,FALSE,0.5000000000000004,0.33333333333333365,FALSE
Pritchard_2013,3,A,NA,FALSE,0.0714285714285715,0.058823529411764754,FALSE
Pritchard_2013,1,B,NA,TRUE,2.249999999999999,1.7999999999999994,TRUE
Pritchard_2013,2,B,NA,TRUE,2.4999999999999996,1.6666666666666663,TRUE
Pritchard_2013,3,B,NA,TRUE,1.3571428571428574,0.9500000000000002,TRUE
Pritchard_2013,4,A,NA,TRUE,0.9090909090909074,0.8333333333333317,TRUE
Pritchard_2013,4,B,NA,TRUE,1.545454545454547,1.3076923076923088,TRUE
Pritchard_2013,5,A,NA,TRUE,0.285714285714286,0.23529411764705901,TRUE
Pritchard_2013,5,B,NA,TRUE,1.2352941176470582,1.2352941176470582,TRUE
Hendrickx_2008,1,A,F,TRUE,7.0740752831278355,6.821425760842845,TRUE
Hendrickx_2008,2,A,NA,TRUE,5.119047639200682,5.000000000000001,TRUE
Pelabon_2004,1,A,NA,TRUE,2.7646948140736956,2.4191079623144836,TRUE
Pelabon_2004,2,A,NA,TRUE,3.286335345030996,2.6473256946083024,TRUE
Pelabon_2004,3,A,NA,TRUE,2.473050335402115,2.331733173379137,TRUE
Pelabon_2004,4,A,NA,TRUE,2.7773406451272056,2.393008910945112,TRUE
Pelabon_2004,5,A,NA,TRUE,2.7646948140736956,2.1503181887239857,TRUE
Pelabon_2004,6,A,NA,TRUE,0.5933661039639294,0.5274365368568262,TRUE
Pelabon_2004,7,A,NA,TRUE,6.317066829892915,3.715921664642891,TRUE
Pelabon_2004,8,A,NA,TRUE,4.8838594710877326,4.341208418744651,TRUE
