"","StudyCross","first","second","GenDist","PA","StudyID","parents.space","Cross_ID","ParentID","Species_or_CrossType"
"75","Knowlton_2014_A","Vestiaria coccinea","Himatione sanguinea",0.0341772151898734,"Animal","Knowlton_2014","Himatione sanguinea","A","A","Himatione sanguinea"
"76","Knowlton_2014_A","Vestiaria coccinea","Himatione sanguinea",0.0341772151898734,"Animal","Knowlton_2014","Vestiaria coccinea","A","B","Vestiaria coccinea"
"77","Kohn_2001_A","Saguinus fuscicollis leucogenys","Saguinus fuscicollis illigeri",0.0174152046783626,"Animal",NA,NA,NA,NA,NA
"78","Kohn_2001_B","Saguinus fuscicollis lagonotus","Saguinus fuscicollis illigeri",0.0392397660818714,"Animal",NA,NA,NA,NA,NA
"79","Lemmon_2010_A","Pseudacris nigrita","Pseudacris feriarum",0.102129337539432,"Animal","Lemmon_2010","Pseudacris feriarum","A","A","Pseudacris feriarum"
"80","Lemmon_2010_A","Pseudacris nigrita","Pseudacris feriarum",0.102129337539432,"Animal","Lemmon_2010","Pseudacris nigrita","A","B","Pseudacris nigrita"
"81","Loveless_2010_A","Poecilia velifera","Poecilia mexicana",0.0948095238095238,"Animal","Loveless_2010","Poecilia mexicana","A","A","Poecilia mexicana"
"82","Loveless_2010_A","Poecilia velifera","Poecilia mexicana",0.0948095238095238,"Animal","Loveless_2010","Poecilia velifera","A","B","Poecilia velifera"
"83","Machado-Schiaffino_2014_A","Amphilophus labiatus","Amphilophus citrinellus",0.00832208726945569,"Animal","Machado-Schiaffino_2014","Amphilophus citrinellus","A","A","Amphilophus citrinellus"
"84","Machado-Schiaffino_2014_A","Amphilophus labiatus","Amphilophus citrinellus",0.00832208726945569,"Animal","Machado-Schiaffino_2014","Amphilophus labiatus","A","B","Amphilophus labiatus"
"85","MCELROY_1993_A","Pseudotropheus zebra","Labeotropheus fuelleborni",0.00175901495162709,"Animal",NA,NA,NA,NA,NA
"86","Monti_1997_A","Spodoptera latifascia","Spodoptera descoinsi",0.0494037478705281,"Animal","Monti_1997","Spodoptera descoinsi","A","A","Spodoptera descoinsi"
"87","Monti_1997_A","Spodoptera latifascia","Spodoptera descoinsi",0.0494037478705281,"Animal","Monti_1997","Spodoptera latifascia","A","B","Spodoptera latifascia"
"88","Park_2003_A","Pleuronectes ferrugineus","Pleuronectes americanus",0.105737704918033,"Animal","Park_2003","Pleuronectes americanus","A","A","Pleuronectes americanus"
"89","Park_2003_A","Pleuronectes ferrugineus","Pleuronectes americanus",0.105737704918033,"Animal","Park_2003","Pleuronectes ferrugineus","A","B","Pleuronectes ferrugineus"
"90","PASDAR_1984_A","Lepomis microlophus","Lepomis cyanellus",0.181578947368421,"Animal","PASDAR_1984","Lepomis cyanellus","A","A","Lepomis cyanellus"
"91","PASDAR_1984_A","Lepomis microlophus","Lepomis cyanellus",0.181578947368421,"Animal","PASDAR_1984","Lepomis microlophus","A","B","Lepomis microlophus"
"92","Pfennig_2007_A","Spea multiplicata","Spea bombifrons",0.119871794871795,"Animal","Pfennig_2007","Spea bombifrons","A","A","Spea bombifrons"
